Project	Version	TQI	Functional_Suitability	Performance_Efficiency	Compatibility	Usability	Reliability	Security	Maintainability	Portability	Bad_Function	Comprehensibility	Redundancy	Structurdness	Assignment	Resource_Handling	Cohesion	Coupling	Complexity	Messaging	Encapsulation	Pattern_Structural_Integrity	Pattern_Behavioral_Integrity	Pattern_Instability	Pattern_Structural_Aberrations	Pattern_Behavioral_Aberrations	
hystrix	18	0.6774208280259898	0.6972491042378818	0.6925900174259005	0.6429638924826315	0.6987889199404499	0.7261696122016739	0.6583538043168198	0.6313811537046906	0.6515088891194545	1.0	1.0	1.0	1.0	1.0	1.0	0.5265145344591707	0.4142294073513286	0.6783194918810735	0.7438018915095861	0.533877749502135	0.39104166666666673	0.0	0.6466973886328724	1.0	0.428575	
hystrix	19	0.6768601771871279	0.6967132579070149	0.6919752195617936	0.6422111359300078	0.6983306262539983	0.7255988011423586	0.6576377586765717	0.6309479242476431	0.650807164654401	1.0	1.0	1.0	1.0	1.0	1.0	0.5209898609303378	0.41354872877759635	0.6768743648119052	0.7423254677957168	0.5324579504796961	0.39104166666666673	0.0	0.6466973886328724	1.0	0.428575	
hystrix	1	0.6702135820979063	0.6986278620784162	0.6988947603375733	0.6467705737246972	0.6742528866712839	0.7267355576220775	0.6696245613390076	0.6099116069560852	0.6373415946857938	1.0	1.0	1.0	1.0	1.0	1.0	0.8297039046151367	0.7344830586437867	0.8694742054190924	0.8909842776206887	0.11325262822554945	0.46354166666666674	0.0	0.6008064516129032	0.8958333333333334	0.0	
hystrix	2	0.6494489279510127	0.6770130548845711	0.6756066698980788	0.6199251642171214	0.6575777690241088	0.70655832367489	0.6429809189665525	0.5940402242928325	0.6134288056348867	1.0	1.0	1.0	1.0	1.0	1.0	0.6711311361286726	0.686294389818878	0.8146185380260043	0.8055901895596473	0.11659764256132517	0.47083333333333344	0.0	0.5806451612903225	0.8833333333333333	0.0	
hystrix	3	0.6225764958731185	0.6502477750444314	0.6440562172028974	0.584525289641936	0.6381634353044612	0.6817581666101076	0.6080371581181903	0.5691061986951264	0.5829340047688981	1.0	1.0	1.0	1.0	1.0	1.0	0.4944372461265555	0.5478002746103552	0.7640552148043096	0.7221095528196856	0.13459700541573735	0.3639583333333334	0.0	0.5700992555831266	0.9615384615384616	0.0	
hystrix	4	0.6225312214442169	0.6502143568777459	0.6440114817406429	0.5844671870622218	0.6381245595950927	0.6817196759414532	0.607983038245988	0.5690511483368689	0.5828758190927638	1.0	1.0	1.0	1.0	1.0	1.0	0.49439215639425504	0.5472729053019038	0.7640693070315971	0.7221637727070066	0.134278432621854	0.3639583333333334	0.0	0.5700992555831266	0.9615384615384616	0.0	
hystrix	5	0.6195589667760015	0.647141431325412	0.6408339130565144	0.5808795435834113	0.635705367614078	0.6790341869899824	0.6042001693036816	0.5664311318034745	0.5796249760216324	1.0	1.0	1.0	1.0	1.0	1.0	0.4854202952079113	0.5239932062910447	0.7570400444354153	0.7109410182030476	0.13539343740044596	0.3639583333333334	0.0	0.5700992555831266	0.9615384615384616	0.0	
hystrix	6	0.6195060438827228	0.647051758101943	0.6407200804888165	0.5808478824974808	0.6357358508736696	0.678996619406877	0.6041093874113355	0.5663126820318921	0.5796553528922657	1.0	1.0	1.0	1.0	1.0	1.0	0.4859258643498426	0.5207467364071153	0.7571216832622847	0.7111365423827017	0.13698630136986298	0.3639583333333334	0.0	0.5700992555831266	0.9615384615384616	0.0	
hystrix	7	0.66170789484637	0.6783499744510263	0.6813428736862298	0.6393263412666307	0.6816664903376504	0.7161899610291137	0.6484682957134359	0.6051090164695392	0.6418014927780078	1.0	1.0	1.0	1.0	1.0	1.0	0.7679823459895044	0.4030533781008219	0.7100109718264982	0.7586490614958116	0.5468587471111807	0.36312500000000003	0.0	0.5720046082949308	1.0	0.14287499999999997	
hystrix	8	0.6569277156693294	0.6734732010427528	0.6763039913141855	0.6334703034064225	0.6780710070866796	0.7111381036141905	0.642280736945315	0.601230040691135	0.6362242657334313	1.0	1.0	1.0	1.0	1.0	1.0	0.7263953407313088	0.3905584280229088	0.690963576193446	0.7476508749059811	0.5439022220065197	0.36312500000000003	0.0	0.5720046082949308	1.0	0.14287499999999997	
